#Written with Eu4 Easy Province Creator by emiroercn
#Oforog
add_core = 
owner = 
controller = 
culture = Placeholder_culture
religion = placeholder_religion
hre = no
discovered_by = western
base_tax = 1
base_production = 1
trade_goods = grain
base_manpower = 1
capital = "Oforog"
is_city = yes
extra_cost = 2
center_of_trade = 
discovered_by =westerncdiscovered_by =westernan
discovered_by = north_american
discovered_by = mesoamerican
discovered_by = eastern
discovered_by = ottoman
discovered_by = muslim
discovered_by = indian
discovered_by = chinese
discovered_by = east_african
discovered_by = central_african



discovered_by = andean
discovered_by = south_american
discovered_by = north_american
discovered_by = mesoamerican
