#Written with Eu4 Easy Province Creator by emiroercn
#UNNAMED
#religion = hasian_faith
#culture = Hasian
hre = no
base_tax = 1
base_production = 1
base_manpower = 1
is_city = no
native_size = 1
native_ferocity = 1
native_hostileness = 1
capital = "Emaneme"
 

discovered_by = antestal_yom_tech_gr
discovered_by = west_estali_tech_gr













































































































































































































































































































































































































































































































































































































































































































